Time,PWM,Throttle,A,e,P,D,I,PID
7036,1214,1372,-0.31,3.31,165.69,0,6.63,172.31
7056,1215,1391,-0.56,3.56,177.89,0,13.74,191.64
7071,1215,1392,-0.44,3.44,171.79,0,20.61,192.4
7086,1209,1392,-0.31,3.31,165.69,0,27.24,192.93
7101,1215,1405,-0.44,3.44,171.79,0,34.11,205.9
7115,1209,1412,-0.44,3.44,171.79,0,40.99,212.77
7131,1215,1387,0.17,2.83,141.27,0,46.64,187.91
7146,1215,1368,0.66,2.34,116.86,0,51.31,168.17
7160,1214,1372,0.66,2.34,116.86,0,55.98,172.84
7176,1215,1383,0.54,2.46,122.96,0,60.9,183.86
7190,1209,1376,0.78,2.22,110.75,0,65.33,176.09
7205,1214,1386,0.66,2.34,116.86,0,70.01,186.87
7221,1215,1366,1.15,1.85,92.44,0,73.71,166.15
7235,1215,1376,1.03,1.97,98.55,0,77.65,176.19
7250,1215,1361,1.4,1.6,80.24,0,80.86,161.09
7265,1209,1396,0.78,2.22,110.75,0,85.29,196.04
7280,1214,1356,1.64,1.36,68.03,0,88.01,156.04
7296,1215,1333,2.13,0.87,43.62,0,89.75,133.37
7310,1214,1392,1.03,1.97,98.55,0,93.69,192.24
7325,1215,1332,2.25,0.75,37.51,0,95.2,132.71
7340,1209,1384,1.27,1.73,86.34,0,98.65,184.99
7355,1214,1337,2.25,0.75,37.51,0,100.15,137.66
7370,1214,1339,2.25,0.75,37.51,0,101.65,139.16
7385,1215,1315,2.74,0.26,13.1,0,102.17,115.27
7400,1215,1360,1.88,1.12,55.82,0,104.41,160.23
7414,1209,1279,3.47,-0.47,-23.52,0,103.47,79.94
7430,1215,1355,2.01,0.99,49.72,0,105.45,155.17
7444,1215,1357,2.01,0.99,49.72,0,107.44,157.16
7459,1214,1327,2.62,0.38,19.2,0,108.21,127.41
7475,1214,1353,2.13,0.87,43.62,0,109.96,153.57
7489,1209,1336,2.49,0.51,25.31,0,110.97,136.27
7504,1215,1273,3.71,-0.71,-35.73,0,109.54,73.81
7519,1214,1304,3.1,-0.1,-5.21,0,109.33,104.12
7534,1214,1278,3.59,-0.59,-29.63,0,108.15,78.52
7549,1215,1416,0.91,2.09,104.65,0,112.33,216.98
7564,1195,1370,1.88,1.12,55.82,0,114.56,170.39
7579,1214,1232,4.57,-1.57,-78.45,0,111.43,32.97
7593,1215,1337,2.49,0.51,25.31,0,112.44,137.74
7609,1215,1351,2.25,0.75,37.51,0,113.94,151.45
7624,1201,1403,1.27,1.73,86.34,0,117.39,203.73
7639,1215,1292,3.47,-0.47,-23.52,0,116.45,92.93
7654,1215,1342,2.49,0.51,25.31,0,117.46,142.77
7668,1209,1362,2.13,0.87,43.62,0,119.21,162.82
7684,1201,1402,1.4,1.6,80.24,0,122.42,202.65
7699,1214,1285,3.71,-0.71,-35.73,0,120.99,85.26
7713,1215,1347,2.49,0.51,25.31,0,122,147.31
7729,1215,1386,1.76,1.24,61.93,0,124.48,186.4
7743,1195,1414,1.27,1.73,86.34,0,127.93,214.27
7758,1214,1259,4.32,-1.32,-66.25,0,125.28,59.03
7774,1215,1275,3.96,-0.96,-47.94,0,123.36,75.43
7788,1215,1444,0.66,2.34,116.86,0,128.04,244.9
7803,1201,1468,0.3,2.7,135.17,0,133.45,268.61
7818,1209,1245,4.69,-1.69,-84.56,0,130.06,45.5
7833,1215,1280,3.96,-0.96,-47.94,0,128.15,80.21
7847,1214,1379,2.01,0.99,49.72,0,130.13,179.85
7863,1201,1445,0.78,2.22,110.75,0,134.56,245.32
7878,1214,1303,3.59,-0.59,-29.63,0,133.38,103.75
7892,1209,1366,2.37,0.63,31.41,0,134.64,166.04
7908,1214,1405,1.64,1.36,68.03,0,137.36,205.39
7922,1201,1401,1.76,1.24,61.93,0,139.83,201.76
7938,1215,1251,4.69,-1.69,-84.56,0,136.45,51.89
7953,1215,1337,2.98,0.02,0.89,0,136.49,137.38
7967,1208,1369,2.37,0.63,31.41,0,137.74,169.15
7983,1201,1459,0.66,2.34,116.86,0,142.42,259.28
7998,1214,1451,0.91,2.09,104.65,0,146.6,251.25
8012,1215,1233,5.18,-2.18,-108.97,0,142.25,33.27
8028,1215,1273,4.32,-1.32,-66.25,0,139.6,73.35
8042,1195,1403,1.76,1.24,61.93,0,142.07,204
8057,1215,1444,1.03,1.97,98.55,0,146.01,244.56
8072,1215,1232,5.18,-2.18,-108.97,0,141.66,32.68
8087,1215,1241,4.94,-1.94,-96.77,0,137.78,41.02
8102,1201,1402,1.76,1.24,61.93,0,140.26,202.19
8117,1215,1385,2.13,0.87,43.62,0,142.01,185.62
8132,1215,1425,1.4,1.6,80.24,0,145.22,225.45
8146,1208,1225,5.3,-2.3,-115.08,0,140.61,25.54
8162,1200,1233,5.06,-2.06,-102.87,0,136.5,33.63
8177,1214,1273,4.2,-1.2,-60.14,0,134.09,73.95
8192,1214,1379,2.13,0.87,43.62,0,135.84,179.45
8207,1215,1412,1.52,1.48,74.13,0,138.8,212.94
8221,1201,1428,1.27,1.73,86.34,0,142.26,228.6
8237,1215,1260,4.57,-1.57,-78.45,0,139.12,60.66
8252,1214,1321,3.35,-0.35,-17.42,0,138.42,121
8266,1214,1390,2.01,0.99,49.72,0,140.41,190.13
8282,1215,1455,0.78,2.22,110.75,0,144.84,255.59
8296,1209,1333,3.23,-0.23,-11.32,0,144.39,133.07
8311,1215,1421,1.52,1.48,74.13,0,147.35,221.49
8327,1215,1208,5.67,-2.67,-133.39,0,142.02,8.63
8341,1215,1215,5.42,-2.42,-121.18,0,137.17,15.99
8356,1214,1261,4.45,-1.45,-72.35,0,134.28,61.92
8371,1208,1398,1.76,1.24,61.93,0,136.75,198.68
8386,1215,1312,3.47,-0.47,-23.52,0,135.81,112.29
8401,1215,1374,2.25,0.75,37.51,0,137.31,174.82
8416,1214,1389,2.01,0.99,49.72,0,139.3,189.02
8431,1215,1397,1.88,1.12,55.82,0,141.53,197.36
8445,1209,1285,4.08,-1.08,-54.04,0,139.37,85.33
8461,1215,1289,3.96,-0.96,-47.94,0,137.46,89.52
8475,1215,1452,0.78,2.22,110.75,0,141.89,252.64
8491,1215,1222,5.3,-2.3,-115.08,0,137.28,22.21
8506,1214,1236,4.94,-1.94,-96.77,0,133.41,36.65
8520,1209,1315,3.35,-0.35,-17.42,0,132.71,115.3
8536,1215,1378,2.13,0.87,43.62,0,134.46,178.08
8550,1215,1513,-0.44,3.44,171.79,0,141.33,313.12
8565,1215,1234,5.06,-2.06,-102.87,0,137.22,34.35
8581,1215,1173,6.16,-3.16,-157.8,0,130.9,-26.9
8595,1214,1325,3.1,-0.1,-5.21,0,130.7,125.48
8610,1215,1426,1.15,1.85,92.44,0,134.39,226.84
8625,1208,1259,4.45,-1.45,-72.35,0,131.5,59.15
8640,1215,1199,5.55,-2.55,-127.28,0,126.41,-0.87
8655,1215,1308,3.35,-0.35,-17.42,0,125.71,108.29
8670,1214,1377,2.01,0.99,49.72,0,127.7,177.42
8685,1214,1474,0.17,2.83,141.27,0,133.35,274.62
8699,1209,1467,0.42,2.58,129.06,0,138.51,267.58
8715,1215,1282,4.08,-1.08,-54.04,0,136.35,82.31
8730,1215,1273,4.2,-1.2,-60.14,0,133.95,73.8
8744,1215,1353,2.62,0.38,19.2,0,134.71,153.92
8760,1215,1456,0.66,2.34,116.86,0,139.39,256.25
8774,1209,1232,5.06,-2.06,-102.87,0,135.27,32.41
8790,1215,1228,5.06,-2.06,-102.87,0,131.16,28.29
8805,1215,1382,2.01,0.99,49.72,0,133.15,182.87
8819,1215,1448,0.78,2.22,110.75,0,137.58,248.33
8835,1214,1052,8.48,-5.48,-273.77,0,126.63,-147.14
8849,1209,1511,-0.56,3.56,177.89,0,133.74,311.64
8864,1201,1417,1.4,1.6,80.24,0,136.95,217.19
8880,1215,1426,1.27,1.73,86.34,0,140.41,226.75
8894,1215,1379,2.25,0.75,37.51,0,141.91,179.42
8909,1215,1342,2.98,0.02,0.89,0,141.94,142.83
8924,1195,1298,3.84,-0.84,-41.83,0,140.27,98.44
8939,1214,1328,3.23,-0.23,-11.32,0,139.82,128.5
8954,1215,1696,-3.85,6.85,342.69,0,153.52,496.21
8969,1215,1354,2.98,0.02,0.89,0,153.56,154.45
8984,1201,1405,2.01,0.99,49.72,0,155.55,205.27
8998,1208,1521,-0.19,3.19,159.58,0,161.93,321.51
9014,1215,1267,4.81,-1.81,-90.66,0,158.31,67.64
9028,1215,1283,4.45,-1.45,-72.35,0,155.41,83.06
9043,1201,1299,4.08,-1.08,-54.04,0,153.25,99.21
9059,1215,1462,0.91,2.09,104.65,0,157.44,262.09
9073,1210,1231,5.42,-2.42,-121.18,0,152.59,31.41
9089,1215,1232,5.3,-2.3,-115.08,0,147.99,32.91
9103,1194,1304,3.84,-0.84,-41.83,0,146.31,104.48
9118,1215,1398,2.01,0.99,49.72,0,148.3,198.02
9134,1215,1361,2.74,0.26,13.1,0,148.82,161.92
9148,1215,1400,2.01,0.99,49.72,0,150.81,200.53
9163,1215,1459,0.91,2.09,104.65,0,155,259.65
9178,1209,1355,2.98,0.02,0.89,0,155.04,155.93
9193,1214,1387,2.37,0.63,31.41,0,156.29,187.7
9208,1214,1452,1.15,1.85,92.44,0,159.99,252.43
9223,1201,1379,2.62,0.38,19.2,0,160.76,179.96
9238,1215,1291,4.32,-1.32,-66.25,0,158.11,91.86
9252,1208,1295,4.2,-1.2,-60.14,0,155.7,95.56
9268,1214,1369,2.74,0.26,13.1,0,156.23,169.32
9283,1201,1439,1.4,1.6,80.24,0,159.44,239.67
9297,1214,1538,-0.44,3.44,171.79,0,166.31,338.1
9313,1215,1265,4.94,-1.94,-96.77,0,162.44,65.67
9327,1209,1261,4.94,-1.94,-96.77,0,158.57,61.8
9342,1201,1410,2.01,0.99,49.72,0,160.55,210.27
9358,1215,1475,0.78,2.22,110.75,0,164.98,275.74
9372,1215,1219,5.79,-2.79,-139.49,0,159.4,19.92
9388,1215,1341,3.35,-0.35,-17.42,0,158.71,141.29
9402,1195,1346,3.23,-0.23,-11.32,0,158.26,146.94
9417,1215,1403,2.13,0.87,43.62,0,160,203.62
9432,1215,1335,3.47,-0.47,-23.52,0,159.06,135.54
9447,1215,1359,2.98,0.02,0.89,0,159.09,159.99
