Calculating Current Offset...
Current Offset: 5.91
Time,PWM,Throttle,Current,Error,PID_P,PID_D,PID_I,PID
7049,1214,1549,-0.30,3.30,329.66,-0.02,20.15,349.79
7066,1214,1572,-0.42,3.42,341.87,0.01,30.40,372.29
7081,1201,1582,-0.42,3.42,341.87,0.00,40.66,382.53
7097,1214,1580,-0.30,3.30,329.66,-0.02,50.55,380.20
7111,1215,1602,-0.42,3.42,341.87,0.02,60.80,402.69
7127,1215,1600,-0.30,3.30,329.66,-0.02,70.69,400.34
7141,1208,1610,-0.30,3.30,329.66,0.00,80.58,410.25
7156,1214,1620,-0.30,3.30,329.66,0.00,90.47,420.14
7172,1215,1630,-0.30,3.30,329.66,0.00,100.36,430.03
7186,1214,1627,-0.17,3.17,317.467216,1209,1570,0.56,2.44,244.21,-0.10,126.74,370.85
7201,1215,1636,-0.17,3.17,317.46,-0.02,109.89,427.33
,0.00,119.41,436.87
7231,1215,1603,0.31,2.69,268.63,0.03,134.80,403.46
7246,1215,1611,0.31,2.69,268.63,0.00,142.86,411.48
7261,1215,1594,0.56,2.44,244.21,-0.03,150.18,394.36
7276,1215,1551,1.05,1.95,195.39,-0.07,156.04,351.36
7290,1209,1557,1.05,1.95,195.39,0.00,161.90,357.29
7306,1214,1550,1.17,1.83,183.18,-0.02,167.40,350.56
7321,1215,1568,1.05,1.95,195.39,0.02,173.26,368.66
7335,1214,1549,1.29,1.71,170.97,-0.03,178.39,349.33
7351,1215,1567,1.17,1.83,183.18,0.02,183.89,367.08
7365,1209,1534,1.53,1.47,146.56,-0.05,188.28,334.79
7380,1214,1526,1.66,1.34,134.35,-0.02,192.31,326.65
7396,1215,1480,2.14,0.86,85.52,-0.06,194.88,280.34
7410,1215,1445,2.51,0.49,48.90,-0.05,196.35,245.20
7426,1214,1446,2.51,0.49,48.90,0.00,197.81,246.71
7440,1208,1548,1.53,1.47,146.56,0.14,202.21,348.91
7455,1215,1490,2.14,0.86,85.52,-0.08,204.78,290.22
7471,1215,1417,2.88,0.12,12.28,-0.09,205.14,217.33
7485,1215,1405,3.00,0.00,0.07,-0.02,205.15,205.20
7500,1215,1468,2.39,0.61,61.11,0.08,206.98,268.17
7515,1209,1381,3.24,-0.24,-24.34,-0.11,206.25,181.79
7530,1215,1456,2.51,0.49,48.90,0.10,207.72,256.72
7544,1215,1332,3.73,-0.73,-73.17,-0.17,205.52,132.18
7560,1215,1430,2.76,0.24,24.49,0.12,206.26,230.87
7575,1215,1078,6.17,-3.17,-317.31,-0.46,196.74,-121.03
7589,1215,1749,-0.42,3.42,341.87,0.94,206.99,549.80
7605,1215,1494,2.14,0.86,85.52,-0.32,209.56,294.76
7619,1209,1560,1.53,1.47,146.56,0.09,213.96,360.60
7634,1215,1426,2.88,0.12,12.28,-0.18,214.32,226.42
7650,1215,1351,3.61,-0.61,-60.96,-0.09,212.49,151.44
7664,1215,1324,3.85,-0.85,-85.38,-0.03,209.93,124.52
7680,1215,1296,4.10,-1.10,-109.79,-0.03,206.64,96.82
7694,1208,1444,2.63,0.37,36.69,0.21,207.74,244.64
7709,1215,1130,5.68,-2.68,-268.48,-0.41,199.69,-69.20
7725,1214,1135,5.56,-2.56,-256.27,0.02,192.00,-64.26
7739,1215,1178,5.07,-2.07,-207.45,0.07,185.77,-21.60
7754,1214,1310,3.73,-0.73,-73.17,0.18,183.58,110.59
7769,1209,1371,3.12,-0.12,-12.13,0.08,183.22,171.16
7784,1201,1383,3.00,0.00,0.07,0.02,183.22,183.31
7799,1214,1370,3.12,-0.12,-12.13,-0.02,182.85,170.70
7814,1214,1458,2.27,0.73,73.32,0.11,185.05,258.48
7829,1214,1196,4.83,-1.83,-183.03,-0.34,179.56,-3.81
7843,1195,1216,4.59,-1.59,-158.62,0.03,174.80,16.22
7859,1215,1261,4.10,-1.10,-109.79,0.06,171.51,61.78
7874,1215,1535,1.41,1.59,158.76,0.36,176.27,335.40
7888,1215,1000,7.03,-4.03,-402.76,-0.80,164.19,-239.37
7904,1201,1704,-0.30,3.30,329.66,0.92,174.08,504.66
7918,1209,1726,-0.42,3.42,341.87,0.02,184.34,526.22
7933,1215,1535,1.53,1.47,146.56,-0.26,188.73,335.03
7949,1214,1413,2.76,0.24,24.49,-0.15,189.47,213.80
7963,1201,1477,2.14,0.86,85.52,0.09,192.03,277.64
7979,1215,1392,3.00,0.00,0.07,-0.11,192.04,192.00
7993,1208,1266,4.22,-1.22,-122.00,-0.17,188.38,66.20
8008,1214,1728,-0.30,3.30,329.66,0.60,198.27,528.53
8024,1215,1901,-1.88,4.88,488.35,0.20,212.92,701.47
8038,1215,1311,3.98,-0.98,-97.58,-0.84,209.99,111.57
8053,1214,1586,1.29,1.71,170.97,0.36,215.12,386.45
8068,1214,1062,6.42,-3.42,-341.72,-0.68,204.87,-137.54
8083,1187,1443,2.63,0.37,36.69,0.50,205.97,243.17
8097,1209,1758,-0.42,3.42,341.87,0.44,216.22,558.53
8113,1215,1566,1.53,1.47,146.56,-0.24,220.62,366.93
8128,1215,1496,2.27,0.73,73.32,-0.10,222.82,296.04
8142,1201,1510,2.14,0.86,85.52,0.02,225.38,310.92
8158,1214,1400,3.24,-0.24,-24.34,-0.14,224.65,200.18
8172,1208,1349,3.73,-0.73,-73.17,-0.07,222.46,149.22
8187,1215,1863,-1.27,4.27,427.32,0.67,235.28,663.27
8203,1200,1762,-0.17,3.17,317.46,-0.14,244.80,562.12
8217,1215,1368,3.73,-0.73,-73.17,-0.56,242.61,168.88
8232,1215,1442,3.00,0.00,0.07,0.10,242.61,242.78
8247,1209,1102,6.30,-3.30,-329.52,-0.44,232.72,-97.23
8262,1200,1181,5.44,-2.44,-244.07,0.11,225.40,-18.55
8278,1215,1778,-0.42,3.42,341.87,0.73,235.66,578.26
8292,1215,1561,1.78,1.22,122.14,-0.31,239.32,361.15
8307,1214,1527,2.14,0.86,85.52,-0.05,241.89,327.36
8322,1195,1529,2.14,0.86,85.52,0.00,244.45,329.98
8337,1214,1469,2.76,0.24,24.49,-0.08,245.19,269.59
8352,1215,1331,4.10,-1.10,-109.79,-0.18,241.89,131.93
8367,1215,1870,-1.15,4.15,415.11,0.70,254.35,670.16
8382,1201,1932,-1.64,4.64,463.94,0.07,268.27,732.27
8396,1209,1429,3.37,-0.37,-36.55,-0.71,267.17,229.91
8412,1215,1341,4.22,-1.22,-122.00,-0.11,263.51,141.41
8427,1215,1224,5.32,-2.32,-231.86,-0.15,256.55,24.55
8441,1215,1368,3.85,-0.85,-85.38,0.21,253.99,168.83
8457,1214,1617,1.41,1.59,158.76,0.31,258.76,417.83
8471,1209,1080,6.66,-3.66,-366.14,-0.75,247.77,-119.12
8486,1214,1788,-0.30,3.30,329.66,0.93,257.66,588.25
8502,1214,1809,-0.42,3.42,341.87,0.02,267.92,609.80
8516,1214,1643,1.29,1.71,170.97,-0.24,273.05,443.77
8531,1215,1561,2.14,0.86,85.52,-0.11,275.61,361.02
8546,1214,1488,2.88,0.12,12.28,-0.10,275.98,288.16
8561,1214,1450,3.24,-0.24,-24.34,-0.05,275.25,250.86
8576,1209,1324,4.46,-1.46,-146.41,-0.16,270.86,124.28
8591,1215,1886,-1.03,4.03,402.91,0.73,282.95,686.58
8606,1215,1255,5.20,-2.20,-219.65,-0.83,276.36,55.87
8621,1215,1413,3.61,-0.61,-60.96,0.21,274.53,213.78
8636,1214,1248,5.20,-2.20,-219.65,-0.21,267.94,48.07
8650,1208,1229,5.32,-2.32,-231.86,-0.02,260.98,29.10
8666,1215,1511,2.51,0.49,48.90,0.35,262.45,311.70
8681,1214,1689,0.80,2.20,219.80,0.23,269.04,489.07
8695,1214,1279,4.83,-1.83,-183.03,-0.58,263.55,79.94
8711,1214,1262,4.95,-1.95,-195.24,-0.02,257.69,62.44
8725,1209,1420,3.37,-0.37,-36.55,0.23,256.60,220.28
8740,1215,1607,1.53,1.47,146.56,0.24,260.99,407.80
8756,1215,1133,6.17,-3.17,-317.31,-0.58,251.48,-66.41
8770,1215,1036,7.03,-4.03,-402.76,-0.12,239.39,-163.49
8785,1214,1792,-0.42,3.42,341.87,0.99,249.65,592.51
8800,1208,1801,-0.42,3.42,341.87,0.00,259.91,601.78
8815,1215,1635,1.29,1.71,170.97,-0.23,265.03,435.78
8830,1215,1553,2.14,0.86,85.52,-0.11,267.60,353.01
8845,1214,1467,3.00,0.00,0.07,-0.11,267.60,267.56
8860,1214,1480,2.88,0.12,12.28,0.02,267.97,280.27
8875,1209,1316,4.46,-1.46,-146.41,-0.21,263.58,116.96
8890,1215,1879,-1.03,4.03,402.91,0.73,275.67,679.30
8905,1201,1500,2.76,0.24,24.49,-0.50,276.40,300.38
8920,1215,1476,3.00,0.00,0.07,-0.03,276.40,276.44
8935,1215,1249,5.20,-2.20,-219.65,-0.29,269.81,49.87
8949,1208,1268,4.95,-1.95,-195.24,0.03,263.96,68.75
8965,1214,1451,3.12,-0.12,-12.13,0.23,263.59,251.69
8980,1215,1677,0.92,2.08,207.59,0.29,269.82,477.70
8994,1214,1180,5.81,-2.81,-280.69,-0.70,261.40,-19.99
9010,1215,1272,4.83,-1.83,-183.03,0.12,255.91,73.00
9024,1212,1368,3.85,-0.85,-85.38,0.14,253.35,168.11
