time,in,out
1.717670000000000000e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.717770013688702893e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.717870027377405495e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.717970041066108388e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.718070054754811281e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.718170068443513883e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.718270082132216776e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.718370095820919669e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.718470109509622271e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.718570123198325164e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.718670136887028057e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.718770150575730659e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.718870164264433552e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.718970177953136445e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.719070191641839046e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.719170205330541939e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.719270219019244832e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.719370232707947434e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.719470246396650327e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.719570260085353220e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.719670273774055822e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.719770287462758715e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.719870301151461608e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.719970314840164210e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.720070328528867103e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.720170342217569996e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.720270355906272598e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.720370369594975491e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.720470383283678093e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.720570396972380986e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.720670410661083879e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.720770424349786481e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.720870438038489374e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.720970451727192267e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.721070465415894869e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.721170479104597762e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.721270492793300655e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.721370506482003257e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.721470520170706150e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.721570533859409043e+05,2.000000000000000042e-02,0.000000000000000000e+00
