time,in,out
8.908000000000000000e+03,2.999999999999999889e-02,1.000000000000000000e+03
8.918011933174224396e+03,2.999999999999999889e-02,1.000000000000000000e+03
8.928023866348448792e+03,3.902386634844879493e-02,1.000000000000000000e+03
8.938035799522673187e+03,8.107181601215085465e-02,1.000000000000000000e+03
8.948047732696897583e+03,9.804773269689759374e-02,1.000000000000000000e+03
8.958059665871121979e+03,1.146539379474945108e-01,1.000000000000000000e+03
8.968071599045346375e+03,9.428509438055864000e-02,1.000000000000000000e+03
8.978083532219570770e+03,8.000000000000000167e-02,1.000000000000000000e+03
8.988095465393795166e+03,4.952267303102417251e-02,1.000000000000000000e+03
8.998107398568019562e+03,2.491050119331703061e-02,1.000000000000000000e+03
9.008119331742243958e+03,1.588066825775604277e-02,1.000000000000000000e+03
9.018131264916468353e+03,2.239379474940506043e-02,1.000000000000000000e+03
9.028143198090692749e+03,2.116728140594204693e-02,1.000000000000000000e+03
9.038155131264917145e+03,-7.131698850075323184e-03,1.000000000000000000e+03
9.048167064439141541e+03,-2.167064439141540635e-03,1.000000000000000000e+03
9.058178997613365937e+03,-1.000000000000000021e-02,1.000000000000000000e+03
9.068190930787590332e+03,-1.119093078759033320e-02,1.000000000000000000e+03
9.078202863961814728e+03,-2.218702538511768685e-02,1.000000000000000000e+03
9.088214797136037305e+03,-3.941418962898916856e-02,1.000000000000000000e+03
9.098226730310261701e+03,-1.210891733564991093e-02,1.000000000000000000e+03
9.108238663484486096e+03,1.771599045345829265e-02,1.000000000000000000e+03
9.118250596658710492e+03,-7.751789976131476245e-03,1.000000000000000000e+03
9.128262529832934888e+03,-1.000000000000000021e-02,1.000000000000000000e+03
9.138274463007159284e+03,-3.182338902147785475e-02,1.000000000000000000e+03
9.148286396181383680e+03,-1.085441527446528304e-02,1.000000000000000000e+03
9.158298329355608075e+03,6.634844868734613745e-03,1.000000000000000000e+03
9.168310262529832471e+03,2.262052505966494209e-02,1.000000000000000000e+03
9.178322195704056867e+03,1.262746799741507747e-03,1.000000000000000000e+03
9.188334128878281263e+03,-6.031677153408646075e-04,1.000000000000000000e+03
9.198346062052505658e+03,2.615751789977367736e-03,1.000000000000000000e+03
9.208357995226730054e+03,6.147971360380324879e-03,1.000000000000000000e+03
9.218369928400954450e+03,3.271678599840924934e-02,1.000000000000000000e+03
9.228381861575178846e+03,1.523627684964230788e-02,1.000000000000000000e+03
9.238393794749403241e+03,-2.393794749403241589e-03,1.000000000000000000e+03
9.248405727923627637e+03,-1.656107615534809993e-02,1.000000000000000000e+03
9.258417661097852033e+03,-3.613365155131263717e-02,1.000000000000000000e+03
9.268429594272076429e+03,-8.711217183770714190e-03,1.000000000000000000e+03
9.278441527446300825e+03,1.759166847472277626e-02,1.000000000000000000e+03
9.288453460620525220e+03,-3.701887611195574246e-02,1.000000000000000000e+03
9.298465393794749616e+03,-4.000000000000000083e-02,1.000000000000000000e+03
9.308477326968974012e+03,-8.307875894988187015e-02,1.000000000000000000e+03
