Starting Setup...
Data Rate : 4
Calculating Current Offset...
Current Offset: 62.45
Begging Data Collection in 2 Seconds...
"Time[ms], Throttle[1000 -> 2000], Current[A], Frequency [Hz]"
"8908,1000,-0.01,100"
"8919,1000,-0.04,90"
"8929,1000,0.03,100"
"8940,1000,0.03,90"
"8950,1000,0.00,100"
"8961,1000,0.02,90"
"8972,1000,-0.00,90"
"8982,1000,0.01,100"
"8992,1000,-0.01,100"
"9004,1000,-0.02,83"
"9014,1000,-0.02,100"
"9024,1000,0.01,100"
"9035,1000,-0.02,90"
"9046,1000,-0.00,90"
"9056,1000,0.01,100"
"9067,1000,-0.03,90"
"9077,1000,-0.03,100"
"9088,1000,-0.02,90"
"9099,1000,0.01,90"
"9109,1000,0.02,100"
"9119,1000,0.03,100"
"9131,1000,0.01,83"
"9141,1000,0.02,100"
"9151,1000,0.06,100"
"9162,1000,0.01,90"
"9172,1000,0.02,100"
"9183,1000,-0.03,90"
"9194,1000,-0.04,90"
"9204,1000,-0.07,100"
"9214,1000,-0.07,100"
"9226,1000,-0.04,83"
"9236,1000,0.01,100"
"9246,1000,0.01,100"
"9257,1000,0.00,90"
"9268,1000,-0.02,90"
"9278,1000,0.02,100"
"9289,1000,-0.00,90"
"9299,1000,-0.01,100"
"9310,1000,-0.05,90"
"9320,1000,0.01,100"
"9331,1000,0.01,90"
"9341,1000,0.01,100"
"9352,1000,0.01,90"
"9363,1000,-0.01,90"
"9373,1000,0.00,100"
"9383,1000,-0.02,100"
"9395,1000,-0.02,83"
"9405,1000,-0.00,100"
"9415,1000,0.01,100"
"9426,1000,-0.01,90"
"9437,1000,-0.04,90"
"9447,1000,-0.02,100"
"9458,1000,-0.00,90"
"9468,1000,-0.05,100"
"9479,1000,-0.05,90"
"9490,1000,-0.00,90"
"9500,1000,0.02,100"
"9510,1000,0.02,100"
"9522,1000,0.01,83"
"9532,1000,-0.03,100"
"9542,1000,-0.04,100"
"9553,1000,-0.08,90"
"9564,1000,-0.01,90"
"9574,1000,-0.04,100"
"9585,1000,-0.11,90"
"9595,1000,-0.07,100"
"9606,1000,-0.02,90"
"9617,1000,-0.01,90"
"9627,1000,0.02,100"
"9637,1000,-0.00,100"
"9649,1000,0.01,83"
"9659,1000,-0.02,100"
"9669,1000,0.03,100"
"9680,1000,0.05,90"
"9691,1000,0.07,90"
"9701,1000,0.06,100"
"9711,1000,0.02,100"
"9722,1000,0.09,90"
"9733,1000,0.06,90"
"9743,1000,0.05,100"
"9754,1000,-0.02,90"
"9764,1000,-0.02,100"
"9775,1000,0.01,90"
"9786,1000,-0.02,90"
"9796,1000,-0.01,100"
"9806,1000,-0.04,100"
"9818,1000,-0.02,83"
"9828,1000,-0.02,100"
"9838,1000,-0.04,100"
"9849,1000,-0.01,90"
"9860,1000,-0.03,90"
"9870,1000,-0.05,100"
"9881,1000,-0.04,90"
"9891,1000,-0.02,100"
"9902,1000,-0.03,90"
"9913,1000,-0.00,90"
"9923,1000,-0.04,100"
"9933,1000,-0.04,100"
"9945,1000,-0.06,83"
"9955,1000,0.01,100"
"9965,1000,-0.06,100"
"9976,1000,-0.03,90"
"9987,1000,0.01,90"
"9997,1000,-0.04,100"
"10008,1000,0.01,90"
"10018,1000,0.01,100"
"10029,1000,-0.01,90"
"10040,1000,0.03,90"
"10050,1000,0.01,100"
"10060,1000,-0.05,100"
"10072,1000,-0.04,83"
"10082,1000,-0.04,100"
"10093,1000,-0.07,90"
"10103,1000,-0.04,100"
"10114,1000,-0.04,90"
"10125,1000,-0.02,90"
"10135,1000,0.02,100"
"10145,1000,-0.05,100"
"10157,1000,-0.08,83"
"10167,1000,-0.00,100"
"10177,1000,-0.00,100"
"10188,1000,0.01,90"
"10199,1000,-0.01,90"
"10210,1000,0.03,90"
"10220,1000,-0.01,100"
"10230,1000,0.02,100"
"10242,1000,0.04,83"
"10252,1000,0.05,100"
"10262,1000,0.06,100"
"10273,1000,-0.00,90"
"10284,1000,-0.01,90"
"10295,1000,0.01,90"
"10305,1000,-0.03,100"
"10315,1000,0.01,100"
"10327,1000,-0.01,83"
"10337,1000,-0.00,100"
"10347,1000,0.05,100"
"10358,1000,0.01,90"
"10369,1000,0.05,90"
"10379,1000,0.02,100"
"10390,1000,-0.03,90"
"10400,1000,-0.08,100"
"10412,1000,-0.05,83"
"10422,1000,-0.01,100"
"10432,1000,-0.02,100"
"10443,1000,-0.07,90"
"10454,1000,-0.06,90"
"10464,1000,-0.02,100"
"10475,1000,-0.00,90"
"10485,1000,-0.05,100"
"10497,1000,-0.01,83"
"10507,1000,-0.01,100"
"10517,1000,-0.03,100"
"10528,1000,0.02,90"
"10539,1000,0.04,90"
"10549,1000,0.05,100"
"10560,1000,0.04,90"
"10570,1000,-0.03,100"
"10580,1000,-0.02,100"
"10592,1000,-0.03,83"
"10602,1000,-0.04,100"
"10613,1000,-0.01,90"
"10624,1000,0.06,90"
"10634,1000,0.08,100"
"10645,1000,0.05,90"
"10655,1000,0.05,100"
"10665,1000,0.09,100"
"10677,1000,0.06,83"
"10687,1000,0.07,100"
"10698,1000,0.10,90"
"10708,1000,0.04,100"
"10719,1000,0.01,90"
"10730,1000,0.01,90"
"10740,1000,0.01,100"
"10750,1000,-0.00,100"
"10762,1000,0.03,83"
"10772,1000,0.05,100"
"10782,1000,0.03,100"
"10793,1000,0.06,90"
"10804,1000,0.08,90"
"10815,1000,0.05,90"
"10825,1000,0.04,100"
"10835,1000,-0.02,100"
"10847,1000,0.05,83"
"10857,1000,0.01,100"
"10867,1000,-0.02,100"
"10878,1000,-0.03,90"
"10889,1000,0.03,90"
"10900,1000,0.02,90"
"10910,1000,0.00,100"
"10920,1000,-0.03,100"
"10932,1000,-0.01,83"
"10942,1000,0.00,100"
"10952,1000,0.04,100"
"10963,1000,0.02,90"
"10974,1000,-0.01,90"
"10984,1000,0.03,100"
"10995,1000,0.05,90"
"11005,1000,-0.02,100"
"11017,1000,-0.01,83"
"11027,1000,-0.06,100"
"11037,1000,0.01,100"
"11048,1000,-0.04,90"
"11059,1000,-0.01,90"
"11069,1000,0.02,100"
"11080,1000,-0.02,90"
"11090,1000,0.03,100"
"11102,1000,0.04,83"
"11112,1000,0.08,100"
"11122,1000,0.04,100"
"11133,1000,0.02,90"
"11144,1000,0.03,90"
"11154,1000,0.06,100"
"11165,1000,0.00,90"
"11175,1000,-0.01,100"
"11187,1000,-0.04,83"
"11197,1000,-0.04,100"
"11207,1000,-0.00,100"
"11218,1000,0.03,90"
"11229,1000,-0.01,90"
"11239,1000,0.03,100"
"11250,1000,0.04,90"
"11260,1000,0.01,100"
"11271,1000,-0.01,90"
"11282,1000,0.01,90"
"11292,1000,0.04,100"
"11303,1000,0.02,90"
"11314,1000,0.02,90"
"11324,1000,0.01,100"
"11335,1000,-0.01,90"
"11345,1000,-0.00,100"
"11356,1000,-0.02,90"
"11367,1000,-0.06,90"
"11377,1000,0.01,100"
"11387,1000,-0.04,100"
"11399,1000,0.03,83"
"11409,1000,0.03,100"
"11420,1000,-0.02,90"
"11430,1000,-0.01,100"
"11441,1000,-0.02,90"
"11452,1000,-0.03,90"
"11462,1000,-0.02,100"
"11472,1000,-0.02,100"
"11484,1000,-0.03,83"
"11494,1000,0.01,100"
"11505,1000,0.01,90"
"11515,1000,0.01,100"
"11526,1000,0.05,90"
"11537,1000,-0.03,90"
"11547,1000,-0.04,100"
"11557,1000,0.01,100"
"11569,1000,0.02,83"
"11579,1000,-0.00,100"
"11590,1000,0.06,90"
"11600,1000,0.06,100"
"11611,1000,0.03,90"
"11622,1000,0.04,90"
"11632,1000,0.06,100"
"11642,1000,0.06,100"
"11654,1000,0.01,83"
"11664,1000,0.04,100"
"11675,1000,0.04,90"
"11685,1000,-0.00,100"
"11696,1000,0.01,90"
"11707,1000,-0.02,90"
"11717,1000,-0.04,100"
"11727,1000,-0.04,100"
"11739,1000,-0.03,83"
"11749,1000,-0.01,100"
"11760,1000,0.04,90"
"11770,1000,-0.00,100"
"11781,1000,0.00,90"
"11792,1000,0.02,90"
"11802,1000,0.03,100"
"11812,1000,0.05,100"
"11824,1000,0.07,83"
"11834,1000,0.05,100"
"11844,1000,0.06,100"
"11855,1000,0.03,90"
"11866,1000,0.07,90"
"11877,1000,0.05,90"
"11887,1000,0.07,100"
"11897,1000,0.08,100"
"11909,1000,0.08,83"
"11919,1000,0.07,100"
"11929,1000,0.04,100"
"11940,1000,0.04,90"
"11951,1000,0.01,90"
"11962,1000,-0.02,90"
"11972,1000,-0.04,100"
"11982,1000,-0.04,100"
"11994,1000,-0.06,83"
"12004,1000,0.02,100"
"12014,1000,-0.04,100"
"12025,1000,0.01,90"
"12036,1000,0.01,90"
"12046,1000,-0.02,100"
"12057,1000,-0.01,90"
"12067,1000,0.00,100"
"12079,1000,0.04,83"
"12089,1000,0.01,100"
"12099,1000,-0.00,100"
"12110,1000,0.02,90"
"12121,1000,0.02,90"
"12131,1000,-0.04,100"
"12142,1000,0.03,90"
"12152,1000,0.02,100"
"12164,1000,0.03,83"
"12174,1000,0.04,100"
"12184,1000,-0.01,100"
"12195,1000,0.01,90"
"12206,1000,-0.03,90"
"12216,1000,-0.02,100"
"12227,1000,0.04,90"
"12237,1000,-0.02,100"
"12249,1000,-0.04,83"
"12259,1000,-0.00,100"
"12269,1000,-0.02,100"
"12280,1000,-0.03,90"
"12291,1000,-0.01,90"
"12301,1000,0.02,100"
"12312,1000,-0.01,90"
"12322,1000,-0.03,100"
"12333,1000,-0.03,90"
"12344,1000,-0.05,90"
"12354,1000,0.01,100"
"12365,1000,0.04,90"
"12376,1000,-0.02,90"
"12386,1000,0.02,100"
"12397,1000,0.01,90"
"12407,1000,0.05,100"
"12418,1000,0.03,90"
"12429,1000,0.03,90"
"12439,1000,-0.03,100"
"12449,1000,-0.01,100"
"12461,1000,-0.00,83"
"12471,1000,0.04,100"
"12482,1000,0.01,90"
"12492,1000,-0.01,100"
"12503,1000,0.03,90"
"12514,1000,-0.03,90"
"12524,1000,-0.03,100"
"12534,1000,-0.01,100"
"12546,1000,-0.04,83"
"12556,1000,0.00,100"
"12567,1000,-0.00,90"
"12577,1000,0.02,100"
"12588,1000,-0.00,90"
"12599,1000,-0.04,90"
"12609,1000,0.01,100"
"12619,1000,0.02,100"
"12631,1000,0.08,83"
"12641,1000,-0.02,100"
"12652,1000,0.02,90"
"12662,1000,-0.01,100"
"12673,1000,-0.02,90"
"12684,1000,-0.02,90"
"12694,1000,-0.03,100"
"12704,1000,-0.07,100"
"12716,1000,-0.04,83"
"12726,1000,-0.01,100"
"12736,1000,-0.02,100"
"12747,1000,0.01,90"
"12758,1000,0.03,90"
"12769,1000,0.02,90"
"12779,1000,0.01,100"
"12789,1000,-0.06,100"
"12801,1000,-0.04,83"
"12811,1000,-0.09,100"
"12821,1000,-0.10,100"
"12832,1000,-0.03,90"
"12843,1000,0.00,90"
"12853,1000,0.03,100"
"12864,1000,-0.02,90"
"12874,1000,-0.03,100"
"12886,1000,0.01,83"
"12896,1000,0.01,100"
"12906,1000,0.02,100"
"12917,1000,-0.02,90"
"12928,1000,-0.03,90"
"12938,1000,-0.00,100"
"12949,1000,-0.05,90"
"12959,1000,-0.06,100"
"12971,1000,-0.03,83"
"12981,1000,-0.02,100"
"12991,1000,0.02,100"
"13002,1000,-0.02,90"
"13012,1000,0.02,100"
"13023,1000,-0.01,90"
"13034,1000,-0.03,90"
"13044,1000,-0.05,100"
"13056,1000,-0.04,83"
"13066,1000,-0.04,100"
"13076,1000,-0.06,100"
"13087,1000,-0.01,90"
"13097,1000,0.03,100"
"13108,1000,-0.00,90"
"13119,1000,-0.03,90"
"13129,1000,-0.06,100"
"13140,1000,-0.08,90"
"13151,1000,-0.06,90"
"13161,1000,-0.08,100"
"13172,1000,-0.05,90"
"13182,1000,-0.07,100"
"13193,1000,-0.05,90"
"13204,1000,-0.01,90"
"13214,1000,-0.03,100"
"13224,1000,0.01,100"
"13236,1000,-0.06,83"
"13246,1000,-0.01,100"
"13257,1000,-0.01,90"
"13267,1000,-0.07,100"
"13278,1000,-0.04,90"
"13289,1000,-0.04,90"
"13299,1000,-0.06,100"
"13309,1000,-0.02,100"
"13321,1000,-0.00,83"
"13331,1000,0.02,100"
"13342,1000,-0.00,90"
"13352,1000,0.02,100"
"13363,1000,0.01,90"
"13374,1000,0.05,90"
"13384,1000,0.03,100"
"13394,1000,-0.01,100"
"13406,1000,-0.02,83"
"13416,1000,0.02,100"
"13427,1000,0.02,90"
"13437,1000,-0.02,100"
"13448,1000,-0.03,90"
"13459,1000,-0.07,90"
"13469,1000,-0.05,100"
"13479,1000,-0.04,100"
"13491,1000,0.00,83"
"13501,1000,-0.06,100"
"13511,1000,-0.05,100"
"13522,1000,-0.04,90"
"13533,1000,-0.01,90"
"13544,1000,-0.04,90"
"13554,1000,-0.02,100"
"13564,1000,0.00,100"
"13576,1000,0.07,83"
"13586,1000,0.04,100"
"13596,1000,-0.04,100"
"13607,1000,-0.04,90"
"13618,1000,-0.00,90"
"13629,1000,-0.03,90"
"13639,1000,0.01,100"
"13649,1000,0.01,100"
"13661,1000,-0.04,83"
"13671,1000,-0.05,100"
"13681,1000,-0.06,100"
"13692,1000,-0.08,90"
"13703,1000,-0.01,90"
"13713,1000,0.04,100"
"13724,1000,0.01,90"
"13734,1000,0.03,100"
"13746,1000,-0.01,83"
"13756,1000,-0.08,100"
"13766,1000,-0.09,100"
"13777,1000,-0.06,90"
"13788,1000,-0.04,90"
"13798,1000,-0.04,100"
"13809,1000,-0.04,90"
"13819,1000,-0.01,100"
"13831,1000,-0.03,83"
"13841,1000,-0.03,100"
"13851,1000,-0.02,100"
"13862,1000,-0.01,90"
"13873,1000,-0.00,90"
"13883,1000,-0.01,100"
"13894,1000,-0.01,90"
"13904,1000,-0.01,100"
"13916,1000,-0.03,83"
"13926,1000,-0.03,100"
"13936,1000,-0.02,100"
"13947,1000,0.01,90"
"13958,1000,-0.02,90"
"13968,1000,-0.00,100"
"13979,1000,-0.01,90"
"13989,1000,-0.02,100"
"14001,1060,0.01,83"
"14011,1600,-0.01,100"
"14021,1600,-0.02,100"
"14032,1600,-0.06,90"
"14043,1600,0.04,90"
"14054,1600,0.04,90"
"14064,1600,0.01,100"
"14074,1600,0.01,100"
"14086,1600,0.03,83"
"14096,1600,0.03,100"
"14107,1600,-0.02,90"
"14117,1600,0.04,100"
"14128,1600,0.02,90"
"14139,1600,-0.01,90"
"14149,1600,0.05,100"
"14160,1600,-0.03,90"
"14171,1600,-0.03,90"
"14181,1600,-0.09,100"
"14192,1600,-0.06,90"
"14202,1600,-0.02,100"
"14214,1600,0.03,83"
"14224,1600,0.02,100"
"14235,1600,-0.02,90"
"14245,1600,-0.03,100"
"14256,1600,0.02,90"
"14267,1600,-0.01,90"
"14277,1600,-0.03,100"
"14288,1600,-0.01,90"
"14299,1600,0.01,90"
"14309,1600,-0.03,100"
"14320,1600,-0.02,90"
"14330,1600,-0.02,100"
"14342,1600,-0.01,83"
"14352,1600,-0.12,100"
"14362,1600,-0.06,100"
"14373,1600,-0.02,90"
"14384,1600,-0.04,90"
"14395,1600,-0.01,90"
"14405,1600,0.05,100"
"14416,1600,0.01,90"
"14427,1600,0.01,90"
"14437,1600,-0.05,100"
"14448,1600,-0.03,90"
"14458,1600,-0.04,100"
"14470,1600,-0.04,83"
"14480,1600,-0.07,100"
"14490,1600,-0.03,100"
"14501,1600,-0.03,90"
"14512,1600,0.01,90"
"14523,1600,0.03,90"
"14533,1600,0.07,100"
"14543,1600,0.04,100"
"14555,1600,0.01,83"
"14565,1600,-0.00,100"
"14576,1600,-0.03,90"
"14586,1600,-0.01,100"
"14597,1600,-0.00,90"
"14608,1600,0.00,90"
"14618,1600,-0.00,100"
"14629,1600,0.01,90"
"14640,1600,0.04,90"
"14650,1600,0.00,100"
"14661,1600,-0.01,90"
"14671,1600,-0.03,100"
"14683,1600,-0.04,83"
"14693,1600,-0.01,100"
"14704,1600,-0.04,90"
"14714,1600,-0.08,100"
"14725,1600,-0.04,90"
"14736,1600,-0.03,90"
"14746,1600,-0.02,100"
"14757,1600,-0.04,90"
"14768,1600,-0.02,90"
"14778,1600,0.01,100"
"14789,1600,0.00,90"
"14799,1600,0.01,100"
"14811,1600,-0.04,83"
"14821,1600,-0.06,100"
"14831,1600,-0.03,100"
"14842,1600,-0.06,90"
"14853,1600,-0.03,90"
"14864,1600,0.01,90"
"14874,1600,-0.03,100"
"14885,1600,-0.03,90"
"14896,1600,-0.06,90"
"14906,1600,-0.02,100"
"14917,1600,0.01,90"
"14927,1600,-0.00,100"
"14939,1600,-0.01,83"
"14949,1600,0.00,100"
"14959,1600,-0.04,100"
"14970,1600,-0.07,90"
"14981,1600,-0.01,90"
"14992,1600,-0.03,90"
"15002,1600,-0.00,100"
"15012,1600,-0.00,100"
"15024,1600,-0.02,83"
"15034,1600,0.01,100"
"15045,1600,0.03,90"
"15055,1600,0.07,100"
"15067,1600,0.01,83"
"15077,1600,-0.03,100"
"15087,1600,0.04,100"
"15098,1600,-0.02,90"
"15109,1600,-0.06,90"
"15120,1600,0.01,90"
"15130,1600,0.00,100"
"15140,1600,0.03,100"
"15152,1600,-0.02,83"
"15162,1600,-0.03,100"
"15173,1600,-0.04,90"
"15183,1600,-0.05,100"
"15194,1600,-0.06,90"
"15205,1600,-0.08,90"
"15215,1600,-0.09,100"
"15226,1600,-0.05,90"
"15237,1600,-0.04,90"
"15247,1600,-0.02,100"
"15258,1600,-0.08,90"
"15268,1600,-0.03,100"
"15280,1600,-0.02,83"
"15290,1600,-0.00,100"
"15301,1600,-0.02,90"
"15311,1600,-0.05,100"
"15322,1600,-0.11,90"
"15333,1600,-0.08,90"
"15343,1600,-0.03,100"
"15354,1600,-0.01,90"
"15365,1600,0.01,90"
"15375,1600,-0.04,100"
"15386,1600,0.03,90"
"15396,1600,-0.03,100"
"15408,1600,-0.01,83"
"15418,1600,-0.00,100"
"15429,1600,0.01,90"
"15439,1600,0.01,100"
"15450,1600,0.07,90"
"15461,1600,0.06,90"
"15471,1600,-0.00,100"
"15482,1600,0.03,90"
"15493,1600,0.03,90"
"15503,1600,0.02,100"
"15514,1600,0.04,90"
"15524,1600,0.07,100"
"15536,1600,0.06,83"
"15546,1600,0.01,100"
"15556,1600,-0.00,100"
"15567,1600,-0.02,90"
"15578,1600,-0.02,90"
"15589,1600,-0.02,90"
"15599,1600,-0.03,100"
"15609,1600,-0.07,100"
"15621,1600,-0.01,83"
"15631,1600,-0.04,100"
"15642,1600,-0.06,90"
"15652,1600,-0.04,100"
"15663,1600,-0.05,90"
"15674,1600,-0.03,90"
"15684,1600,-0.02,100"
"15695,1600,-0.02,90"
"15706,1600,-0.01,90"
"15717,1600,-0.04,90"
"15727,1600,-0.02,100"
"15737,1600,-0.03,100"
"15749,1600,-0.05,83"
"15759,1600,-0.02,100"
"15770,1600,-0.04,90"
"15780,1600,-0.04,100"
"15792,1600,-0.03,83"
"15802,1600,-0.03,100"
"15812,1600,-0.01,100"
"15823,1600,-0.01,90"
"15834,1600,0.05,90"
"15845,1600,0.03,90"
"15855,1600,0.06,100"
"15865,1600,0.01,100"
"15877,1600,0.03,83"
"15887,1600,0.01,100"
"15898,1600,-0.01,90"
"15908,1600,0.01,100"
"15919,1600,0.01,90"
"15930,1600,0.02,90"
"15940,1600,0.07,100"
"15951,1600,0.03,90"
"15962,1600,0.02,90"
"15972,1600,0.03,100"
"15983,1600,0.05,90"
"15993,1600,0.06,100"
"16005,1600,0.04,83"
"16015,1600,0.05,100"
"16025,1600,0.06,100"
"16036,1600,0.02,90"
"16047,1600,0.00,90"
"16058,1600,-0.00,90"
"16068,1600,0.05,100"
"16078,1600,0.05,100"
"16090,1600,-0.01,83"
"16100,1600,0.01,100"
"16111,1600,-0.01,90"
"16121,1600,0.04,100"
"16132,1600,0.10,90"
"16143,1600,0.07,90"
"16153,1600,0.08,100"
"16164,1600,0.03,90"
"16175,1600,0.05,90"
"16185,1600,0.04,100"
"16196,1600,0.04,90"
"16206,1600,0.10,100"
"16218,1600,0.08,83"
"16228,1600,0.07,100"
"16238,1600,0.07,100"
"16249,1600,0.06,90"
"16260,1600,0.03,90"
"16271,1600,0.02,90"
"16281,1600,0.00,100"
"16291,1600,-0.00,100"
"16303,1600,0.04,83"
"16313,1600,0.05,100"
"16324,1600,-0.01,90"
"16334,1600,0.04,100"
"16345,1600,0.01,90"
"16356,1600,0.02,90"
"16366,1600,-0.00,100"
"16377,1600,-0.01,90"
"16388,1600,-0.02,90"
"16398,1600,-0.05,100"
"16409,1600,-0.01,90"
