time,in,out
8.908000000000000000e+03,7.000000000000000666e-02,1.000000000000000000e+03
8.918006770480704290e+03,1.541761555979478254e-02,1.000000000000000000e+03
8.928013540961408580e+03,2.802708192281715832e-02,1.000000000000000000e+03
8.938020311442112870e+03,-2.801132516774072767e-03,1.000000000000000000e+03
8.948027081922817160e+03,2.210832769126864356e-02,1.000000000000000000e+03
8.958033852403521450e+03,-2.112451529513650894e-02,1.000000000000000000e+03
8.968040622884223922e+03,-4.000000000000000083e-02,1.000000000000000000e+03
8.978047393364928212e+03,1.442654028435390312e-02,1.000000000000000000e+03
8.988054163845632502e+03,1.972918077183749216e-02,1.000000000000000000e+03
8.998060934326336792e+03,5.050778605280660354e-03,1.000000000000000000e+03
9.008067704807041082e+03,3.033852403520540669e-02,1.000000000000000000e+03
9.018074475287745372e+03,5.185104942450925736e-02,1.000000000000000000e+03
9.028081245768449662e+03,4.000000000000000083e-02,1.000000000000000000e+03
9.038088016249153952e+03,3.719271250076913726e-02,1.000000000000000000e+03
9.048094786729858242e+03,2.581042654028351674e-02,1.000000000000000000e+03
9.058101557210562532e+03,2.146303933034108755e-02,1.000000000000000000e+03
9.068108327691266823e+03,6.445836154366589577e-02,1.000000000000000000e+03
9.078115098171969294e+03,2.101372561088117596e-02,1.000000000000000000e+03
9.088121868652673584e+03,2.988921031575128562e-02,1.000000000000000000e+03
9.098128639133377874e+03,2.079214624238374942e-02,1.000000000000000000e+03
9.108135409614082164e+03,-2.567704807041082046e-02,1.000000000000000000e+03
9.118142180094786454e+03,-2.573459715640637191e-03,1.000000000000000000e+03
9.128148950575490744e+03,-1.524825095915124072e-02,1.000000000000000000e+03
9.138155721056195034e+03,8.622884224780136275e-03,1.000000000000000000e+03
9.148162491536899324e+03,-8.649966147597297483e-03,1.000000000000000000e+03
9.158169262017603614e+03,-1.348248907490580580e-02,1.000000000000000000e+03
9.168176032498307904e+03,2.352064996615808173e-03,1.000000000000000000e+03
9.178182802979012195e+03,4.379270019079823002e-03,1.000000000000000000e+03
9.188189573459716485e+03,9.435588108575426389e-03,1.000000000000000000e+03
9.198196343940418956e+03,2.000000000000000042e-02,1.000000000000000000e+03
9.208203114421123246e+03,3.187542315507017887e-03,1.000000000000000000e+03
9.218209884901827536e+03,-9.475287745431160147e-03,1.000000000000000000e+03
9.228216655382531826e+03,3.350033852404521624e-03,1.000000000000000000e+03
9.238223425863236116e+03,-1.110629654705553616e-02,1.000000000000000000e+03
9.248230196343940406e+03,2.000000000000000042e-02,1.000000000000000000e+03
9.258236966824644696e+03,2.112451529513154069e-02,1.000000000000000000e+03
9.268243737305348986e+03,3.121868652674493136e-02,1.000000000000000000e+03
9.278250507786053277e+03,7.974949221394672660e-02,1.000000000000000000e+03
9.288257278266757567e+03,6.976611066658403026e-02,1.000000000000000000e+03
9.298264048747461857e+03,6.066904659321649407e-02,1.000000000000000000e+03
9.308270819228164328e+03,6.842801748014940011e-02,1.000000000000000000e+03
9.318277589708868618e+03,2.861205145565691443e-02,1.000000000000000000e+03
9.328284360189572908e+03,4.937526928049258343e-03,1.000000000000000000e+03
9.338291130670277198e+03,-7.291130670277198161e-03,1.000000000000000000e+03
9.348297901150981488e+03,2.317227795900676790e-02,1.000000000000000000e+03
9.358304671631685778e+03,1.707392133932444239e-02,1.000000000000000000e+03
9.368311442112390068e+03,5.311442112390068158e-03,1.000000000000000000e+03
9.378318212593094358e+03,2.063642518618871713e-02,1.000000000000000000e+03
9.388324983073798649e+03,3.375084631006754210e-03,1.000000000000000000e+03
9.398331753554502939e+03,-3.333175355450293531e-02,1.000000000000000000e+03
9.408338524035207229e+03,-2.664590385917108700e-02,1.000000000000000000e+03
9.418345294515911519e+03,-3.041176832646835197e-03,1.000000000000000000e+03
9.428352064996613990e+03,-7.861759093987282648e-03,1.000000000000000000e+03
9.438358835477318280e+03,4.076506431954840526e-03,1.000000000000000000e+03
9.448365605958022570e+03,2.751708007632260033e-02,1.000000000000000000e+03
