Timestamp,Latency (ms),Freq (Hz),Angle of Attack,Altitude,G-Force,Battery Voltage,Battery Current,IMU X,IMU Y,IMU Z
1740652994,601,0.0,-0.01,6.88,1.00,0.02,9.40,-0.01,-0.01,-1.00
1740652995,598,2.0,-0.01,6.90,1.00,0.02,9.40,-0.01,-0.01,-1.00
1740652995,598,2.0,-0.01,6.89,1.00,0.02,9.40,-0.01,-0.01,-1.00
1740652996,599,2.0,-0.01,6.88,1.00,0.02,9.40,-0.01,-0.01,-1.00
1740652996,648,2.0,-0.01,6.90,1.00,0.02,9.40,-0.01,-0.01,-1.00
1740652997,598,2.0,-0.01,6.91,1.00,0.02,9.40,-0.01,-0.01,-1.00
1740652997,599,2.0,-0.01,6.89,1.00,0.02,9.40,-0.01,-0.01,-1.00
1740652998,645,2.0,-0.01,6.87,1.00,0.02,9.40,-0.01,-0.01,-1.00
1740652998,598,2.0,-0.01,6.88,1.00,0.02,9.40,-0.01,-0.01,-1.00
1740652999,636,2.0,-0.01,6.87,1.00,0.02,9.41,-0.01,-0.01,-1.00
1740652999,589,2.0,-0.01,6.86,1.00,0.02,9.40,-0.01,-0.01,-1.00
1740653000,589,2.0,-0.01,6.89,1.00,0.02,9.40,-0.01,-0.01,-1.00
1740653000,590,2.0,-0.01,6.91,1.00,0.02,9.40,-0.01,-0.01,-1.00
1740653001,639,2.0,-0.01,6.90,1.00,0.02,9.41,-0.01,-0.01,-1.00
1740653001,590,2.0,-0.01,6.90,1.00,0.02,9.42,-0.01,-0.01,-1.00
1740653002,631,2.0,-0.01,6.88,1.00,0.02,9.40,-0.01,-0.01,-1.00
1740653002,586,2.0,0.05,6.89,1.01,0.02,9.40,-0.01,0.09,-1.00
1740653003,564,2.0,0.19,6.90,1.01,0.02,9.40,0.21,0.03,-0.99
1740653003,606,2.0,0.16,6.91,1.01,0.02,9.40,0.15,0.04,-1.00
1740653004,559,2.0,0.16,6.88,1.00,0.02,9.40,0.16,0.04,-0.98
1740653004,602,2.0,0.19,6.89,0.97,0.02,9.40,0.19,0.05,-0.95
1740653005,584,2.0,-0.00,6.87,1.00,0.02,9.40,0.00,-0.01,-1.00
1740653005,627,2.0,-0.01,6.87,1.00,0.02,9.40,-0.00,-0.00,-1.00
1740653006,591,2.0,-0.01,6.90,1.01,0.02,9.40,-0.01,-0.00,-1.01
1740653006,564,2.0,0.38,6.90,0.98,0.02,9.41,0.41,0.08,-0.89
1740653007,609,2.0,0.42,6.93,1.02,0.02,9.41,0.49,0.05,-0.89
1740653007,559,2.0,0.42,6.94,1.04,0.02,9.40,0.43,0.03,-0.95
1740653008,605,2.0,0.34,6.92,1.16,0.02,9.40,0.43,-0.13,-1.07
1740653008,633,2.0,-0.01,6.91,1.00,0.02,9.40,-0.01,-0.01,-1.00
1740653009,592,2.0,-0.01,6.91,1.00,0.02,9.40,-0.01,-0.01,-1.00
1740653009,642,2.0,-0.01,6.88,1.00,0.02,9.40,-0.01,-0.01,-1.00
1740653010,592,2.0,-0.01,6.89,1.00,0.02,9.40,-0.01,-0.01,-1.00
1740653010,634,2.0,-0.01,6.88,1.00,0.02,9.40,-0.01,-0.01,-1.00
